,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,molecule_ch1,extract_protocol_ch1,label_ch1,label_protocol_ch1,hyb_protocol,scan_protocol,data_processing,platform_id,contact_name,contact_email,contact_phone,contact_fax,contact_laboratory,contact_department,contact_institute,contact_address,contact_city,contact_zip/postal_code,contact_country,supplementary_file,series_id,data_row_count
GSM1116119,['Basal Sample36 rep1-2'],['GSM1116119'],['Public on Mar 24 2016'],['Apr 05 2013'],['Mar 24 2016'],['RNA'],['1'],['Human Basal Tumor Sample'],['Homo sapiens'],['9606'],"['diagnosis: Breast cancer', 'tumor subtype: Basal', 'batch: 9', 'hybridation: -1']",['total RNA'],"['Total RNA was extracted and purified from tumor samples by using the Rneasy Mini Kit (Qiagen) and then, the RNA clean up kit (Macherey Nagel) according to the manufacturers’ instructions']",['Biotin'],"['After RNA quality and quantity controls, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.']",['See manufacturer protocol.'],['See manufacturer protocol.'],"['The data were first normalized by using GC-RMA (R version 2.14.1). A linear mixed model using Restricted Maximum Likelihood (REML using name package) was then applied. The model included the different experimental batches and the sample type as fixed effects, and treated technical variation as random effects. No interaction terms were included. This model was used to derive significance for differential expression between different tumor types and for correction of batch and hybridization effects. For further analysis, technical replicates were averaged. We choose to discard probe-sets with noise-level signal from the analysis: specifically, we considered as not expressed and therefore discarded, all the probe-sets with a log2 intensity of less than 4 in 95% or more of tissue samples.']",['GPL570'],"['Fatima,,Mechta-Grigoriou']",['fatima.mechta-grigoriou@curie.fr'],['+33156246653'],['+33156246650'],"['""Stress and Cancer"" Lab.']",['INSERM U830'],['Institut Curie'],"[""26 rue d'Ulm""]",['PARIS'],['75248'],['France'],"['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116119/suppl/GSM1116119_BC04_ARN0038_s1h1s1_U133p2.CEL.gz', 'ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116119/suppl/GSM1116119_BC16_ARN0102_s1h1s1_U133p2.CEL.gz']",['GSE45827'],['29873']
GSM1116120,['Basal Sample37 rep1-2'],['GSM1116120'],['Public on Mar 24 2016'],['Apr 05 2013'],['Mar 24 2016'],['RNA'],['1'],['Human Basal Tumor Sample'],['Homo sapiens'],['9606'],"['diagnosis: Breast cancer', 'tumor subtype: Basal', 'batch: 9', 'hybridation: -1']",['total RNA'],"['Total RNA was extracted and purified from tumor samples by using the Rneasy Mini Kit (Qiagen) and then, the RNA clean up kit (Macherey Nagel) according to the manufacturers’ instructions']",['Biotin'],"['After RNA quality and quantity controls, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.']",['See manufacturer protocol.'],['See manufacturer protocol.'],"['The data were first normalized by using GC-RMA (R version 2.14.1). A linear mixed model using Restricted Maximum Likelihood (REML using name package) was then applied. The model included the different experimental batches and the sample type as fixed effects, and treated technical variation as random effects. No interaction terms were included. This model was used to derive significance for differential expression between different tumor types and for correction of batch and hybridization effects. For further analysis, technical replicates were averaged. We choose to discard probe-sets with noise-level signal from the analysis: specifically, we considered as not expressed and therefore discarded, all the probe-sets with a log2 intensity of less than 4 in 95% or more of tissue samples.']",['GPL570'],"['Fatima,,Mechta-Grigoriou']",['fatima.mechta-grigoriou@curie.fr'],['+33156246653'],['+33156246650'],"['""Stress and Cancer"" Lab.']",['INSERM U830'],['Institut Curie'],"[""26 rue d'Ulm""]",['PARIS'],['75248'],['France'],"['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116120/suppl/GSM1116120_BC04_ARN0039_s1h1s1_U133p2.CEL.gz', 'ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116120/suppl/GSM1116120_BC16_ARN0096_s1h1s1_U133p2.CEL.gz']",['GSE45827'],['29873']
GSM1116121,['Her2 Sample38 rep1'],['GSM1116121'],['Public on Mar 24 2016'],['Apr 05 2013'],['Mar 24 2016'],['RNA'],['1'],['Human Her2 Tumor Sample'],['Homo sapiens'],['9606'],"['diagnosis: Breast cancer', 'tumor subtype: Her2', 'batch: 9', 'hybridation: -1']",['total RNA'],"['Total RNA was extracted and purified from tumor samples by using the Rneasy Mini Kit (Qiagen) and then, the RNA clean up kit (Macherey Nagel) according to the manufacturers’ instructions']",['Biotin'],"['After RNA quality and quantity controls, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.']",['See manufacturer protocol.'],['See manufacturer protocol.'],"['The data were first normalized by using GC-RMA (R version 2.14.1). A linear mixed model using Restricted Maximum Likelihood (REML using name package) was then applied. The model included the different experimental batches and the sample type as fixed effects, and treated technical variation as random effects. No interaction terms were included. This model was used to derive significance for differential expression between different tumor types and for correction of batch and hybridization effects. For further analysis, technical replicates were averaged. We choose to discard probe-sets with noise-level signal from the analysis: specifically, we considered as not expressed and therefore discarded, all the probe-sets with a log2 intensity of less than 4 in 95% or more of tissue samples.']",['GPL570'],"['Fatima,,Mechta-Grigoriou']",['fatima.mechta-grigoriou@curie.fr'],['+33156246653'],['+33156246650'],"['""Stress and Cancer"" Lab.']",['INSERM U830'],['Institut Curie'],"[""26 rue d'Ulm""]",['PARIS'],['75248'],['France'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116121/suppl/GSM1116121_BC04_ARN0040_s1h1s1_U133p2.CEL.gz'],['GSE45827'],['29873']
GSM1116122,['Her2 Sample39 rep1-2'],['GSM1116122'],['Public on Mar 24 2016'],['Apr 05 2013'],['Mar 24 2016'],['RNA'],['1'],['Human Her2 Tumor Sample'],['Homo sapiens'],['9606'],"['diagnosis: Breast cancer', 'tumor subtype: Her2', 'batch: 9', 'hybridation: -1']",['total RNA'],"['Total RNA was extracted and purified from tumor samples by using the Rneasy Mini Kit (Qiagen) and then, the RNA clean up kit (Macherey Nagel) according to the manufacturers’ instructions']",['Biotin'],"['After RNA quality and quantity controls, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.']",['See manufacturer protocol.'],['See manufacturer protocol.'],"['The data were first normalized by using GC-RMA (R version 2.14.1). A linear mixed model using Restricted Maximum Likelihood (REML using name package) was then applied. The model included the different experimental batches and the sample type as fixed effects, and treated technical variation as random effects. No interaction terms were included. This model was used to derive significance for differential expression between different tumor types and for correction of batch and hybridization effects. For further analysis, technical replicates were averaged. We choose to discard probe-sets with noise-level signal from the analysis: specifically, we considered as not expressed and therefore discarded, all the probe-sets with a log2 intensity of less than 4 in 95% or more of tissue samples.']",['GPL570'],"['Fatima,,Mechta-Grigoriou']",['fatima.mechta-grigoriou@curie.fr'],['+33156246653'],['+33156246650'],"['""Stress and Cancer"" Lab.']",['INSERM U830'],['Institut Curie'],"[""26 rue d'Ulm""]",['PARIS'],['75248'],['France'],"['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116122/suppl/GSM1116122_BC04_ARN0041_s1h1s1_U133p2.CEL.gz', 'ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116122/suppl/GSM1116122_BC16_ARN0050_s1h1s1_U133p2.CEL.gz']",['GSE45827'],['29873']
GSM1116123,['Her2 Sample40 rep1'],['GSM1116123'],['Public on Mar 24 2016'],['Apr 05 2013'],['Mar 24 2016'],['RNA'],['1'],['Human Her2 Tumor Sample'],['Homo sapiens'],['9606'],"['diagnosis: Breast cancer', 'tumor subtype: Her2', 'batch: 9', 'hybridation: -1']",['total RNA'],"['Total RNA was extracted and purified from tumor samples by using the Rneasy Mini Kit (Qiagen) and then, the RNA clean up kit (Macherey Nagel) according to the manufacturers’ instructions']",['Biotin'],"['After RNA quality and quantity controls, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.']",['See manufacturer protocol.'],['See manufacturer protocol.'],"['The data were first normalized by using GC-RMA (R version 2.14.1). A linear mixed model using Restricted Maximum Likelihood (REML using name package) was then applied. The model included the different experimental batches and the sample type as fixed effects, and treated technical variation as random effects. No interaction terms were included. This model was used to derive significance for differential expression between different tumor types and for correction of batch and hybridization effects. For further analysis, technical replicates were averaged. We choose to discard probe-sets with noise-level signal from the analysis: specifically, we considered as not expressed and therefore discarded, all the probe-sets with a log2 intensity of less than 4 in 95% or more of tissue samples.']",['GPL570'],"['Fatima,,Mechta-Grigoriou']",['fatima.mechta-grigoriou@curie.fr'],['+33156246653'],['+33156246650'],"['""Stress and Cancer"" Lab.']",['INSERM U830'],['Institut Curie'],"[""26 rue d'Ulm""]",['PARIS'],['75248'],['France'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116123/suppl/GSM1116123_BC04_ARN0042_s1h1s1_U133p2.CEL.gz'],['GSE45827'],['29873']
GSM1116124,['Basal Sample41 rep1'],['GSM1116124'],['Public on Mar 24 2016'],['Apr 05 2013'],['Mar 24 2016'],['RNA'],['1'],['Human Basal Tumor Sample'],['Homo sapiens'],['9606'],"['diagnosis: Breast cancer', 'tumor subtype: Basal', 'batch: 9', 'hybridation: -1']",['total RNA'],"['Total RNA was extracted and purified from tumor samples by using the Rneasy Mini Kit (Qiagen) and then, the RNA clean up kit (Macherey Nagel) according to the manufacturers’ instructions']",['Biotin'],"['After RNA quality and quantity controls, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.']",['See manufacturer protocol.'],['See manufacturer protocol.'],"['The data were first normalized by using GC-RMA (R version 2.14.1). A linear mixed model using Restricted Maximum Likelihood (REML using name package) was then applied. The model included the different experimental batches and the sample type as fixed effects, and treated technical variation as random effects. No interaction terms were included. This model was used to derive significance for differential expression between different tumor types and for correction of batch and hybridization effects. For further analysis, technical replicates were averaged. We choose to discard probe-sets with noise-level signal from the analysis: specifically, we considered as not expressed and therefore discarded, all the probe-sets with a log2 intensity of less than 4 in 95% or more of tissue samples.']",['GPL570'],"['Fatima,,Mechta-Grigoriou']",['fatima.mechta-grigoriou@curie.fr'],['+33156246653'],['+33156246650'],"['""Stress and Cancer"" Lab.']",['INSERM U830'],['Institut Curie'],"[""26 rue d'Ulm""]",['PARIS'],['75248'],['France'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116124/suppl/GSM1116124_BC04_ARN0043_s1h1s1_U133p2.CEL.gz'],['GSE45827'],['29873']
GSM1116125,['Basal Sample42 rep1'],['GSM1116125'],['Public on Mar 24 2016'],['Apr 05 2013'],['Mar 24 2016'],['RNA'],['1'],['Human Basal Tumor Sample'],['Homo sapiens'],['9606'],"['diagnosis: Breast cancer', 'tumor subtype: Basal', 'batch: 10', 'hybridation: -1']",['total RNA'],"['Total RNA was extracted and purified from tumor samples by using the Rneasy Mini Kit (Qiagen) and then, the RNA clean up kit (Macherey Nagel) according to the manufacturers’ instructions']",['Biotin'],"['After RNA quality and quantity controls, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.']",['See manufacturer protocol.'],['See manufacturer protocol.'],"['The data were first normalized by using GC-RMA (R version 2.14.1). A linear mixed model using Restricted Maximum Likelihood (REML using name package) was then applied. The model included the different experimental batches and the sample type as fixed effects, and treated technical variation as random effects. No interaction terms were included. This model was used to derive significance for differential expression between different tumor types and for correction of batch and hybridization effects. For further analysis, technical replicates were averaged. We choose to discard probe-sets with noise-level signal from the analysis: specifically, we considered as not expressed and therefore discarded, all the probe-sets with a log2 intensity of less than 4 in 95% or more of tissue samples.']",['GPL570'],"['Fatima,,Mechta-Grigoriou']",['fatima.mechta-grigoriou@curie.fr'],['+33156246653'],['+33156246650'],"['""Stress and Cancer"" Lab.']",['INSERM U830'],['Institut Curie'],"[""26 rue d'Ulm""]",['PARIS'],['75248'],['France'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116125/suppl/GSM1116125_BC04_ARN0044_s2h1s1_U133p2.CEL.gz'],['GSE45827'],['29873']
GSM1116126,['Her2 Sample43 rep1-2'],['GSM1116126'],['Public on Mar 24 2016'],['Apr 05 2013'],['Mar 24 2016'],['RNA'],['1'],['Human Her2 Tumor Sample'],['Homo sapiens'],['9606'],"['diagnosis: Breast cancer', 'tumor subtype: Her2', 'batch: 9', 'hybridation: -1']",['total RNA'],"['Total RNA was extracted and purified from tumor samples by using the Rneasy Mini Kit (Qiagen) and then, the RNA clean up kit (Macherey Nagel) according to the manufacturers’ instructions']",['Biotin'],"['After RNA quality and quantity controls, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.']",['See manufacturer protocol.'],['See manufacturer protocol.'],"['The data were first normalized by using GC-RMA (R version 2.14.1). A linear mixed model using Restricted Maximum Likelihood (REML using name package) was then applied. The model included the different experimental batches and the sample type as fixed effects, and treated technical variation as random effects. No interaction terms were included. This model was used to derive significance for differential expression between different tumor types and for correction of batch and hybridization effects. For further analysis, technical replicates were averaged. We choose to discard probe-sets with noise-level signal from the analysis: specifically, we considered as not expressed and therefore discarded, all the probe-sets with a log2 intensity of less than 4 in 95% or more of tissue samples.']",['GPL570'],"['Fatima,,Mechta-Grigoriou']",['fatima.mechta-grigoriou@curie.fr'],['+33156246653'],['+33156246650'],"['""Stress and Cancer"" Lab.']",['INSERM U830'],['Institut Curie'],"[""26 rue d'Ulm""]",['PARIS'],['75248'],['France'],"['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116126/suppl/GSM1116126_BC04_ARN0045_s1h1s1_U133p2.CEL.gz', 'ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116126/suppl/GSM1116126_BC16_ARN0131_s1h1s1_U133p2.CEL.gz']",['GSE45827'],['29873']
GSM1116127,['Her2 Sample44 rep1'],['GSM1116127'],['Public on Mar 24 2016'],['Apr 05 2013'],['Mar 24 2016'],['RNA'],['1'],['Human Her2 Tumor Sample'],['Homo sapiens'],['9606'],"['diagnosis: Breast cancer', 'tumor subtype: Her2', 'batch: 9', 'hybridation: -1']",['total RNA'],"['Total RNA was extracted and purified from tumor samples by using the Rneasy Mini Kit (Qiagen) and then, the RNA clean up kit (Macherey Nagel) according to the manufacturers’ instructions']",['Biotin'],"['After RNA quality and quantity controls, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.']",['See manufacturer protocol.'],['See manufacturer protocol.'],"['The data were first normalized by using GC-RMA (R version 2.14.1). A linear mixed model using Restricted Maximum Likelihood (REML using name package) was then applied. The model included the different experimental batches and the sample type as fixed effects, and treated technical variation as random effects. No interaction terms were included. This model was used to derive significance for differential expression between different tumor types and for correction of batch and hybridization effects. For further analysis, technical replicates were averaged. We choose to discard probe-sets with noise-level signal from the analysis: specifically, we considered as not expressed and therefore discarded, all the probe-sets with a log2 intensity of less than 4 in 95% or more of tissue samples.']",['GPL570'],"['Fatima,,Mechta-Grigoriou']",['fatima.mechta-grigoriou@curie.fr'],['+33156246653'],['+33156246650'],"['""Stress and Cancer"" Lab.']",['INSERM U830'],['Institut Curie'],"[""26 rue d'Ulm""]",['PARIS'],['75248'],['France'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116127/suppl/GSM1116127_BC04_ARN0046_s1h1s1_U133p2.CEL.gz'],['GSE45827'],['29873']
GSM1116128,['Basal Sample45 rep1'],['GSM1116128'],['Public on Mar 24 2016'],['Apr 05 2013'],['Mar 24 2016'],['RNA'],['1'],['Human Basal Tumor Sample'],['Homo sapiens'],['9606'],"['diagnosis: Breast cancer', 'tumor subtype: Basal', 'batch: 10', 'hybridation: -1']",['total RNA'],"['Total RNA was extracted and purified from tumor samples by using the Rneasy Mini Kit (Qiagen) and then, the RNA clean up kit (Macherey Nagel) according to the manufacturers’ instructions']",['Biotin'],"['After RNA quality and quantity controls, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.']",['See manufacturer protocol.'],['See manufacturer protocol.'],"['The data were first normalized by using GC-RMA (R version 2.14.1). A linear mixed model using Restricted Maximum Likelihood (REML using name package) was then applied. The model included the different experimental batches and the sample type as fixed effects, and treated technical variation as random effects. No interaction terms were included. This model was used to derive significance for differential expression between different tumor types and for correction of batch and hybridization effects. For further analysis, technical replicates were averaged. We choose to discard probe-sets with noise-level signal from the analysis: specifically, we considered as not expressed and therefore discarded, all the probe-sets with a log2 intensity of less than 4 in 95% or more of tissue samples.']",['GPL570'],"['Fatima,,Mechta-Grigoriou']",['fatima.mechta-grigoriou@curie.fr'],['+33156246653'],['+33156246650'],"['""Stress and Cancer"" Lab.']",['INSERM U830'],['Institut Curie'],"[""26 rue d'Ulm""]",['PARIS'],['75248'],['France'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116128/suppl/GSM1116128_BC04_ARN0047_s2h1s1_U133p2.CEL.gz'],['GSE45827'],['29873']
GSM1116129,['Her2 Sample46 rep1'],['GSM1116129'],['Public on Mar 24 2016'],['Apr 05 2013'],['Mar 24 2016'],['RNA'],['1'],['Human Her2 Tumor Sample'],['Homo sapiens'],['9606'],"['diagnosis: Breast cancer', 'tumor subtype: Her2', 'batch: 10', 'hybridation: -1']",['total RNA'],"['Total RNA was extracted and purified from tumor samples by using the Rneasy Mini Kit (Qiagen) and then, the RNA clean up kit (Macherey Nagel) according to the manufacturers’ instructions']",['Biotin'],"['After RNA quality and quantity controls, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.']",['See manufacturer protocol.'],['See manufacturer protocol.'],"['The data were first normalized by using GC-RMA (R version 2.14.1). A linear mixed model using Restricted Maximum Likelihood (REML using name package) was then applied. The model included the different experimental batches and the sample type as fixed effects, and treated technical variation as random effects. No interaction terms were included. This model was used to derive significance for differential expression between different tumor types and for correction of batch and hybridization effects. For further analysis, technical replicates were averaged. We choose to discard probe-sets with noise-level signal from the analysis: specifically, we considered as not expressed and therefore discarded, all the probe-sets with a log2 intensity of less than 4 in 95% or more of tissue samples.']",['GPL570'],"['Fatima,,Mechta-Grigoriou']",['fatima.mechta-grigoriou@curie.fr'],['+33156246653'],['+33156246650'],"['""Stress and Cancer"" Lab.']",['INSERM U830'],['Institut Curie'],"[""26 rue d'Ulm""]",['PARIS'],['75248'],['France'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116129/suppl/GSM1116129_BC04_ARN0048_s2h2s1_U133p2.CEL.gz'],['GSE45827'],['29873']
GSM1116130,['Basal Sample47 rep1'],['GSM1116130'],['Public on Mar 24 2016'],['Apr 05 2013'],['Mar 24 2016'],['RNA'],['1'],['Human Basal Tumor Sample'],['Homo sapiens'],['9606'],"['diagnosis: Breast cancer', 'tumor subtype: Basal', 'batch: 9', 'hybridation: -1']",['total RNA'],"['Total RNA was extracted and purified from tumor samples by using the Rneasy Mini Kit (Qiagen) and then, the RNA clean up kit (Macherey Nagel) according to the manufacturers’ instructions']",['Biotin'],"['After RNA quality and quantity controls, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.']",['See manufacturer protocol.'],['See manufacturer protocol.'],"['The data were first normalized by using GC-RMA (R version 2.14.1). A linear mixed model using Restricted Maximum Likelihood (REML using name package) was then applied. The model included the different experimental batches and the sample type as fixed effects, and treated technical variation as random effects. No interaction terms were included. This model was used to derive significance for differential expression between different tumor types and for correction of batch and hybridization effects. For further analysis, technical replicates were averaged. We choose to discard probe-sets with noise-level signal from the analysis: specifically, we considered as not expressed and therefore discarded, all the probe-sets with a log2 intensity of less than 4 in 95% or more of tissue samples.']",['GPL570'],"['Fatima,,Mechta-Grigoriou']",['fatima.mechta-grigoriou@curie.fr'],['+33156246653'],['+33156246650'],"['""Stress and Cancer"" Lab.']",['INSERM U830'],['Institut Curie'],"[""26 rue d'Ulm""]",['PARIS'],['75248'],['France'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116130/suppl/GSM1116130_BC04_ARN0049_s1h1s1_U133p2.CEL.gz'],['GSE45827'],['29873']
GSM1116131,['Basal Sample48 rep1'],['GSM1116131'],['Public on Mar 24 2016'],['Apr 05 2013'],['Mar 24 2016'],['RNA'],['1'],['Human Basal Tumor Sample'],['Homo sapiens'],['9606'],"['diagnosis: Breast cancer', 'tumor subtype: Basal', 'batch: 9', 'hybridation: -1']",['total RNA'],"['Total RNA was extracted and purified from tumor samples by using the Rneasy Mini Kit (Qiagen) and then, the RNA clean up kit (Macherey Nagel) according to the manufacturers’ instructions']",['Biotin'],"['After RNA quality and quantity controls, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.']",['See manufacturer protocol.'],['See manufacturer protocol.'],"['The data were first normalized by using GC-RMA (R version 2.14.1). A linear mixed model using Restricted Maximum Likelihood (REML using name package) was then applied. The model included the different experimental batches and the sample type as fixed effects, and treated technical variation as random effects. No interaction terms were included. This model was used to derive significance for differential expression between different tumor types and for correction of batch and hybridization effects. For further analysis, technical replicates were averaged. We choose to discard probe-sets with noise-level signal from the analysis: specifically, we considered as not expressed and therefore discarded, all the probe-sets with a log2 intensity of less than 4 in 95% or more of tissue samples.']",['GPL570'],"['Fatima,,Mechta-Grigoriou']",['fatima.mechta-grigoriou@curie.fr'],['+33156246653'],['+33156246650'],"['""Stress and Cancer"" Lab.']",['INSERM U830'],['Institut Curie'],"[""26 rue d'Ulm""]",['PARIS'],['75248'],['France'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116131/suppl/GSM1116131_BC04_ARN0050_s1h1s1_U133p2.CEL.gz'],['GSE45827'],['29873']
GSM1116132,['Her2 Sample49 rep1'],['GSM1116132'],['Public on Mar 24 2016'],['Apr 05 2013'],['Mar 24 2016'],['RNA'],['1'],['Human Her2 Tumor Sample'],['Homo sapiens'],['9606'],"['diagnosis: Breast cancer', 'tumor subtype: Her2', 'batch: 10', 'hybridation: -1']",['total RNA'],"['Total RNA was extracted and purified from tumor samples by using the Rneasy Mini Kit (Qiagen) and then, the RNA clean up kit (Macherey Nagel) according to the manufacturers’ instructions']",['Biotin'],"['After RNA quality and quantity controls, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.']",['See manufacturer protocol.'],['See manufacturer protocol.'],"['The data were first normalized by using GC-RMA (R version 2.14.1). A linear mixed model using Restricted Maximum Likelihood (REML using name package) was then applied. The model included the different experimental batches and the sample type as fixed effects, and treated technical variation as random effects. No interaction terms were included. This model was used to derive significance for differential expression between different tumor types and for correction of batch and hybridization effects. For further analysis, technical replicates were averaged. We choose to discard probe-sets with noise-level signal from the analysis: specifically, we considered as not expressed and therefore discarded, all the probe-sets with a log2 intensity of less than 4 in 95% or more of tissue samples.']",['GPL570'],"['Fatima,,Mechta-Grigoriou']",['fatima.mechta-grigoriou@curie.fr'],['+33156246653'],['+33156246650'],"['""Stress and Cancer"" Lab.']",['INSERM U830'],['Institut Curie'],"[""26 rue d'Ulm""]",['PARIS'],['75248'],['France'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116132/suppl/GSM1116132_BC04_ARN0051_s4h1s1_U133p2.CEL.gz'],['GSE45827'],['29873']
GSM1116133,['Her2 Sample50 rep1'],['GSM1116133'],['Public on Mar 24 2016'],['Apr 05 2013'],['Mar 24 2016'],['RNA'],['1'],['Human Her2 Tumor Sample'],['Homo sapiens'],['9606'],"['diagnosis: Breast cancer', 'tumor subtype: Her2', 'batch: 9', 'hybridation: -1']",['total RNA'],"['Total RNA was extracted and purified from tumor samples by using the Rneasy Mini Kit (Qiagen) and then, the RNA clean up kit (Macherey Nagel) according to the manufacturers’ instructions']",['Biotin'],"['After RNA quality and quantity controls, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.']",['See manufacturer protocol.'],['See manufacturer protocol.'],"['The data were first normalized by using GC-RMA (R version 2.14.1). A linear mixed model using Restricted Maximum Likelihood (REML using name package) was then applied. The model included the different experimental batches and the sample type as fixed effects, and treated technical variation as random effects. No interaction terms were included. This model was used to derive significance for differential expression between different tumor types and for correction of batch and hybridization effects. For further analysis, technical replicates were averaged. We choose to discard probe-sets with noise-level signal from the analysis: specifically, we considered as not expressed and therefore discarded, all the probe-sets with a log2 intensity of less than 4 in 95% or more of tissue samples.']",['GPL570'],"['Fatima,,Mechta-Grigoriou']",['fatima.mechta-grigoriou@curie.fr'],['+33156246653'],['+33156246650'],"['""Stress and Cancer"" Lab.']",['INSERM U830'],['Institut Curie'],"[""26 rue d'Ulm""]",['PARIS'],['75248'],['France'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116133/suppl/GSM1116133_BC04_ARN0052_s1h1s1_U133p2.CEL.gz'],['GSE45827'],['29873']
GSM1116134,['Her2 Sample51 rep1-2'],['GSM1116134'],['Public on Mar 24 2016'],['Apr 05 2013'],['Mar 24 2016'],['RNA'],['1'],['Human Her2 Tumor Sample'],['Homo sapiens'],['9606'],"['diagnosis: Breast cancer', 'tumor subtype: Her2', 'batch: 9', 'hybridation: -1']",['total RNA'],"['Total RNA was extracted and purified from tumor samples by using the Rneasy Mini Kit (Qiagen) and then, the RNA clean up kit (Macherey Nagel) according to the manufacturers’ instructions']",['Biotin'],"['After RNA quality and quantity controls, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.']",['See manufacturer protocol.'],['See manufacturer protocol.'],"['The data were first normalized by using GC-RMA (R version 2.14.1). A linear mixed model using Restricted Maximum Likelihood (REML using name package) was then applied. The model included the different experimental batches and the sample type as fixed effects, and treated technical variation as random effects. No interaction terms were included. This model was used to derive significance for differential expression between different tumor types and for correction of batch and hybridization effects. For further analysis, technical replicates were averaged. We choose to discard probe-sets with noise-level signal from the analysis: specifically, we considered as not expressed and therefore discarded, all the probe-sets with a log2 intensity of less than 4 in 95% or more of tissue samples.']",['GPL570'],"['Fatima,,Mechta-Grigoriou']",['fatima.mechta-grigoriou@curie.fr'],['+33156246653'],['+33156246650'],"['""Stress and Cancer"" Lab.']",['INSERM U830'],['Institut Curie'],"[""26 rue d'Ulm""]",['PARIS'],['75248'],['France'],"['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116134/suppl/GSM1116134_BC04_ARN0053_s1h1s1_U133p2.CEL.gz', 'ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116134/suppl/GSM1116134_BC16_ARN0077_s1h1s1_U133p2.CEL.gz']",['GSE45827'],['29873']
